expression_1_TEXT,expression_2_TEXT,expression_3_TEXT,expression_4_TEXT,expression_5_TEXT,expression_6_TEXT,expression_7_TEXT,expression_8_TEXT,expression_9_TEXT,expression_10_TEXT,suppression_1_TEXT,suppression_2_TEXT,suppression_3_TEXT,suppression_4_TEXT,suppression_5_TEXT,suppression_6_TEXT,suppression_7_TEXT,suppression_8_TEXT,suppression_9_TEXT,suppression_10_TEXT,nowill_auth_gen,nowill_true_honest,nowill_pc,nowill_careful_polite,lazy_auth_gen,lazy_true_honest,lazy_pc,lazy_careful_polite,enviro_auth_gen,enviro_true_honest,enviro_pc,enviro_careful_polite,genes_auth_gen,genes_true_honest,genes_pc,genes_careful_polite,age,gender,gender_TEXT,race,conserv,democrat,prej_1,prej_2,prej_3,prej_4,prej_5,prej_6,prej_7,filler_1,filler_2,filler_3,cond
,,,,,,,,,,Metabolism,Sedentary lifestyle,No interest in sports,Cravings for fatty foods,Minimal experience cooking meals at  home,Busy work life,Age,,,,5,6,2,3,6,6,2,2,2,2,5,6,2,2,6,6,32,1,,White,6,2,2,2,2,4,3,2,3,5,6,3,Suppression
,,,,,,,,,,They may have a hormonal imbalance.,They may have physical challenges that make it difficult or impossible to be active.,They may be genetically inclined to put on weight.,They may be older.  It is easier to put on weight and harder to lose it as you age.,They may come from a culture with a cuisine high in carbohydrates and fat.,They may not be able to afford a healthy diet.,They may have such a busy life that they have little time for cooking or exercise.,"They may have a large frame, and aren't really very fat at all.",They may not consider themselves fat.,They may come from a culture that equates fat with prosperity.,6,6,3,1,6,6,3,1,6,6,5,3,6,6,4,4,64,0,,caucasian,5,3,1,2,1,1,2,2,1,5,2,5,Suppression
,,,,,,,,,,low income,availability of healthy foods,education,upbringing,genes,culture,hormones,lack of time for exercise,body processes food insufficiently,physical disability,5,5,3,5,6,6,2,2,5,5,5,5,5,6,5,5,32,1,,White,2,6,1,5,1,1,1,1,1,5,6,2,Suppression
,,,,,,,,,,Poor eating habits,Lack of exercise,Depression and Anxiety,Eat more processed foods over freshly prepared foods.,Opting for fast food meals over home cooked meals.,Genetics may predisposition some people.,,,,,2,2,1,1,6,6,2,1,6,6,2,2,5,5,5,4,35,1,,Hispanic,2,6,1,2,1,1,1,1,1,6,3,5,Suppression
,,,,,,,,,,depression,health issues,age,calories put into foods being to high,too much sugar added to things,food that are worse for you are cheaper ,convenience ,bordem,genetics,bad food is quicker to get,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,5,25,0,,White,4,4,1,1,2,1,1,1,1,4,3,4,Suppression
,,,,,,,,,,genetic disposition,limited access to healthy food,American standard diet is generally unhealthy,few exercise options,born with weight-affecting disease,post-pregnancy,,,,,6,6,1,1,6,6,1,1,6,6,3,3,5,5,5,5,32,0,,Black,1,6,1,7,1,1,1,2,1,5,3,5,Suppression
,,,,,,,,,,genitics,what types of food are available to buy where they live,what lifestyle they can afford,what jobs they have,medication side affects,how much time a person has available to prepare food,education;what a person knows about cooking and nutrition ,,,,2,2,1,1,1,2,1,1,7,6,6,6,6,6,7,7,32,1,,white,5,3,1,1,1,1,1,1,1,5,1,2,Suppression
,,,,,,,,,,genetics,disabilities,mental illnesses,abuse,influence of others,not enough access to healthcaree,poor access to education,too busy to exercise ,reproductive system conditions,depression,5,6,1,1,7,7,1,1,7,5,6,2,6,6,6,3,24,0,,white,2,7,2,6,5,2,3,5,5,7,7,7,Suppression
,,,,,,,,,,medical issues,busy schedules that don't allow for healthy eating and exercise,,,,,,,,,6,6,5,5,6,6,3,3,6,6,5,5,6,6,6,6,44,0,,white,4,4,2,2,3,2,2,2,2,4,3,3,Suppression
,,,,,,,,,,Lack of knowledge about food choices,Too far away from gym,Too far away from health food (food desert),Lack of money to buy healthier food,Lack of information in their community about healthy food,Health condition,Bad metabolism,On a medication that causes weight gain,,,4,4,3,3,4,4,2,2,5,5,3,3,5,5,4,4,28,0,,White,2,6,2,1,1,2,2,2,1,4,3,3,Suppression
,,,,,,,,,,Poor metabolism,Side effect of medication ,Inability to exercise due to pain,Low income,Lack of health knowledge,,,,,,6,6,5,4,4,4,3,2,5,5,4,3,5,6,5,4,55,0,,Black,3,5,1,2,1,1,1,1,1,5,6,5,Suppression
,,,,,,,,,,hereditary,no access to healthy food,no access to health care,no gyms available,,,,,,,6,6,2,2,6,6,1,1,6,6,6,2,6,6,6,2,63,0,,white,6,2,4,6,2,1,5,4,5,7,7,6,Suppression
,,,,,,,,,,Unhealthy food is inexpensive.,Healthy food is more expensive than unhealthy food.,Unhealthy food is more readily available than healthy food.,People don't have enough time to exercise.,Gyms are expensive to join.,Friends/family don't always encourage fat people to do something about it.,"Friends/family might also be fat, making it more acceptable to the person.","Insurance/healthcare costs deter people from going to a doctor, which translates to less encouragement/knowledge that they need to lose weight.",Some people have diseases or conditions that make them fat and there isn't much they can do about it.,Nutritional education isn't readily available to everyone.,6,6,6,2,6,6,5,2,6,6,6,2,5,5,5,3,35,0,,White,4,4,2,2,3,3,4,2,4,5,4,6,Suppression
,,,,,,,,,,Environment that they are in are stressful,Lack of health education,Lack of self control,Lack of healthy foods in environment,Healthy foods too expensive,,,,,,5,5,4,2,3,3,4,2,6,5,5,3,5,6,6,3,27,1,,White,3,5,2,2,2,1,2,2,3,1,2,2,Suppression
,,,,,,,,,,genetics,they love food,they dont excercise enough,their calorie/protein intake is higher than the amount of calories they bur,they enjoy the weight they have and dont want to be skinny,they gained the weight on purpose,they had a baby and havent lost the weight,they are going through lifestyle changes and that is how theri body responds,they are older in age and unable to move around like they used to,they eat to deal with emotions and have gained weight from eating more than ususal,1,1,1,1,1,1,1,1,5,6,5,1,6,6,5,2,37,0,,Black,2,6,1,1,1,1,1,1,1,1,1,1,Suppression
,,,,,,,,,,Thyroid problems,Economic restrictions,Genetics,Inability to exercise due to handicap,Sedentary Workplace,Geographic availability of low caloric foods,,,,,6,6,2,3,6,6,2,2,5,5,3,2,5,4,6,4,37,0,,American,7,4,2,2,2,2,2,2,3,6,3,6,Suppression
